SURVEY YEAR,DEPARTMENT,QUESTION NUMBER,QUESTION,POSITIVE SCORE,NEUTRAL SCORE,NEGATIVE SCORE,AGREE,SCORE100,SURVEY RESPONSES,THEME,SUB-THEME
2019,Privy Council Office,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",79,6,15,79,76,855,Workplace,Physical environment and equipment
2019,Privy Council Office,Q04,Question 4. I get the training I need to do my job.,74,12,14,74,73,848,Workforce,Job fit and development
2019,Privy Council Office,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",87,7,6,87,83,852,Workplace,Physical environment and equipment
2019,Privy Council Office,Q06,Question 6. I have support at work to balance my work and personal life.,78,10,11,78,78,856,Workforce,Work-life balance and workload
2019,Privy Council Office,Q07,Question 7. I get a sense of satisfaction from my work.,85,9,6,85,82,858,Employee engagement,Employee engagement
2019,Privy Council Office,Q08,Question 8. I receive meaningful recognition for work well done.,76,12,12,76,75,858,Workforce,Performance management
2019,Privy Council Office,Q09,Question 9. I have clear work objectives.,76,12,11,76,75,852,Workforce,Performance management
2019,Privy Council Office,Q10,Question 10. I know how my work contributes to the achievement of my department's or agency's goals.,88,7,5,88,84,855,Workplace,Organizational goals
2019,Privy Council Office,Q11,"Question 11. Overall, I feel valued at work.",79,11,10,79,77,855,Employee engagement,Employee engagement
2019,Privy Council Office,Q12,Question 12. I am proud of the work that I do.,91,6,3,91,86,847,Employee engagement,Employee engagement
2019,Privy Council Office,Q13,Question 13. I have opportunities to provide input into decisions that affect my work.,79,11,10,79,77,855,Workforce,Empowerment
2019,Privy Council Office,Q14,Question 14. I am encouraged to be innovative or to take initiative in my work.,81,11,8,81,80,855,Workforce,Empowerment
2019,Privy Council Office,Q15,Question 15. I have support at work to provide a high level of service.,85,10,6,85,81,851,Workforce,Empowerment
2019,Privy Council Office,Q16,"Question 16. Overall, I like my job.",89,6,5,89,84,856,Employee engagement,Employee engagement
2019,Privy Council Office,Q17,Question 17. I can complete my assigned workload during my regular working hours.,67,18,15,67,70,856,Workforce,Work-life balance and workload
2019,Privy Council Office,Q19,Question 19. I am satisfied with how interpersonal issues are resolved in my work unit.,69,16,15,69,72,855,Workplace,Ethical workplace
2019,Privy Council Office,Q20,"Question 20. In my work unit, every individual is accepted as an equal member of the team.",79,8,12,79,79,855,Workplace,Diversity and inclusion
2019,Privy Council Office,Q21,"Question 21. In my work unit, individuals behave in a respectful manner.",86,7,8,86,83,855,Workplace,Diversity and inclusion
